r,l,t
83.309897,1000,571.932626
155.719129,1000,574.248849
82.823089,1000,578.359143
227.515597,853,580.284692
110.864117,1000,583.240725
120.885345,1000,586.788904
129.763567,1000,589.351136
146.796671,1000,591.779115
109.746623,1000,594.910134
125.612811,1000,597.455787
217.175276,360,598.183066
110.866787,1000,601.762981
142.014692,1000,603.974275
22.48073,278,604.546634
147.019293,1000,606.85003
109.742978,1000,610.149292
128.351335,1000,612.851767
39.527387,209,613.12001
119.408003,1000,615.894694
138.098569,1000,618.160438
147.934815,1000,621.023231
34.955613,248,621.327644
150.925828,1000,624.192485
132.605526,1000,626.740285
176.189353,1000,628.994514
145.760136,1000,631.926945
141.007219,1000,634.16387
137.921292,1000,637.539992
147.032554,1000,639.585598
112.72383,1000,642.089563
108.366758,1000,645.124932
155.182648,1000,647.090846
164.932481,1000,649.415386
150.854227,1000,651.529806
83.027055,207,651.803003
94.550563,1000,653.870059
185.623212,480,654.847644
130.918116,1000,656.999813
158.766963,1000,659.044985
191.856712,299,659.693736
171.378112,1000,662.450584
-10.52351,199,662.70394
-15.862594,191,662.931294
-22.133497,205,663.177135
166.960059,896,665.554971
-44.103406,223,665.82672
93.000687,1000,667.987364
226.789562,352,668.779731
-6.690974,207,669.059506
30.390979,240,669.348042
-24.172153,234,669.622517
2.848634,237,670.085723
183.876331,1000,672.780653
182.820779,1000,675.623904
145.142579,1000,677.641998
97.121443,1000,680.523427
-30.805386,263,681.10417
158.714651,1000,683.215454
95.486193,1000,686.03936
127.333355,1000,688.165647
80.598327,1000,690.896321
-23.661582,235,691.218794
70.55859,277,691.569246
-31.29084,289,691.969114
174.08587,316,692.675502
150.796079,1000,695.454869
202.936304,531,696.5137
154.129394,1000,698.762356
26.084828,230,699.069634
105.978762,1000,701.493553
166.228799,1000,703.982887
213.795506,341,704.653652
185.644494,1000,706.707442
-36.631441,230,706.998422
193.545218,324,707.530165
204.744951,664,709.149909
177.239479,1000,711.288754
186.90106,366,711.846636
-49.124569,244,712.194218
170.519326,1000,714.400231
214.867189,602,715.668208
143.780302,1000,718.672909
-35.176184,244,718.99916
65.426528,221,719.263176
-11.051205,217,719.720245
184.15361,356,720.362235
85.39734,1000,723.239804
127.51309,1000,725.575922
121.783156,1000,727.85252
-21.376866,226,728.15304
184.355759,552,729.283872
101.110899,1000,731.85317
65.050671,1000,735.236792
-48.784463,232,735.53297
95.760802,1000,738.132061
140.898007,1000,740.663939
108.328921,1000,743.693885
189.223742,1000,745.988235
-172.352806,367,746.594633
65.206094,206,746.854911
203.396307,653,748.370711
113.624899,1000,750.69299
238.721369,391,751.317844
209.101392,592,752.703762
124.156902,1000,754.89919
95.634963,1000,757.131972
120.261904,1000,759.534786
117.359742,1000,761.813704
-63.672971,240,762.111331
165.375359,1000,764.637965
169.592305,1000,766.93388
91.334888,1000,769.686546
148.316068,1000,771.987122
174.601198,1000,774.240599
148.019538,1000,776.843019
172.728468,1000,779.762983
111.644598,1000,781.955351
-24.892494,271,782.330393
104.215571,1000,784.781407
121.101893,1000,787.157594
120.960398,1000,789.715804
163.160221,1000,792.556441
107.995034,1000,795.347209
133.875559,1000,797.522455
151.336589,1000,799.935209
107.373455,1000,802.124186
177.735802,1000,804.161331
134.766407,1000,806.286194
122.121705,1000,808.626962
166.833415,1000,810.567755
162.363051,1000,812.977629
165.12692,1000,815.022508
167.508177,1000,817.207144
154.132327,1000,819.276011
160.273259,1000,821.400584
50.242767,186,821.622757
165.217225,1000,823.737469
130.299912,1000,826.552144
137.730124,1000,829.457752
159.278026,1000,831.495695
145.837857,1000,833.3754
179.295122,1000,835.866677
141.266424,1000,838.303107
183.274754,1000,840.508579
138.498213,1000,843.005553
64.914659,225,843.286974
145.254848,1000,845.747413
149.698218,1000,848.180425
139.261617,1000,850.596898
139.800146,1000,852.911813
148.893939,1000,854.863338
146.609355,1000,857.420392
178.506773,1000,859.594825
166.684193,1000,861.693495
164.28504,1000,864.031466
167.471835,1000,866.462901
163.202009,1000,868.557722
180.258293,1000,870.393584
157.823188,1000,872.574278
108.34129,1000,874.812516
161.939024,1000,876.848722
122.895013,1000,879.309047
158.117579,1000,881.685053
144.798494,1000,884.05801
167.30024,1000,886.360718
173.181112,1000,888.770162
154.237329,1000,891.72237
