r,l,t
282.168183,265,6942.330005
270.782483,240,6950.390561
292.651767,285,6957.742605
228.44367,229,6966.505926
233.521522,216,6973.486466
205.217981,513,6980.711331
268.126952,267,6996.067368
283.856183,247,7004.219504
222.592286,218,7011.70384
232.726439,199,7018.319161
262.935248,221,7024.384743
250.044056,238,7031.187902
252.10961,290,7038.70637
247.469141,255,7047.493436
226.348737,199,7055.231769
183.126266,630,7062.395218
246.739071,201,7081.032963
229.958367,226,7087.133694
286.350387,255,7094.066711
278.140455,240,7101.96173
22.897469,133,7109.23734
271.817702,173,7113.406654
225.277323,778,7119.660038
195.621963,385,7143.094055
-226.188741,163,7154.63806
274.946099,335,7159.850261
264.559862,248,7170.072285
261.057814,150,7177.575658
275.533471,140,7182.115905
305.413299,248,7186.502132
250.839334,169,7193.995844
267.390835,188,7199.21421
263.012857,216,7205.020987
264.352312,184,7211.636998
257.149142,474,7217.911188
274.782166,226,7232.025516
246.472901,238,7239.089063
231.897111,288,7246.505008
-107.102163,229,7255.266229
205.343736,335,7262.503381
238.480085,205,7272.63918
272.266352,295,7279.090016
205.627923,408,7288.353878
245.917723,257,7300.616456
246.457068,151,7308.228691
268.363314,265,7312.970036
-29.511072,174,7320.848682
19.344363,73,7325.966338
258.506267,173,7328.300018
11.300576,171,7333.528193
253.417827,281,7339.021921
203.126383,328,7347.736636
-43.703049,96,7357.494079
225.603057,681,7361.465801
207.017097,208,7381.611481
293.600969,324,7388.254805
261.562563,222,7398.061751
45.180752,172,7404.764381
236.025358,801,7411.348608
238.725769,289,7435.277704
270.794485,213,7444.005342
286.500559,227,7450.583366
303.140127,267,7457.614196
275.695868,263,7465.749388
262.400263,196,7473.698478
1.909204,112,7479.6244
12.126367,123,7483.073463
283.916601,193,7486.990726
269.994757,232,7493.038671
239.058346,238,7500.208761
242.890767,187,7507.454977
236.190467,182,7513.211979
233.385726,230,7519.047215
263.10335,245,7526.182448
-196.18121,487,7534.377861
254.179624,623,7550.129072
263.008853,258,7568.891972
202.471289,244,7576.908989
303.749885,243,7584.417362
269.585292,239,7591.870259
307.552059,225,7599.254698
261.395114,196,7606.062679
268.244116,169,7612.072068
63.33329,166,7617.267925
272.372261,222,7622.414066
277.77212,204,7629.178769
184.978067,403,7635.786739
253.810017,177,7647.857357
280.833356,182,7653.305439
254.29093,292,7659.138546
73.097297,1000,7671.774755
233.9937,226,7701.572789
238.705061,195,7708.443853
239.725729,261,7714.688513
267.597311,220,7722.703874
219.053564,685,7730.467562
253.690284,181,7750.895401
275.792822,190,7756.448874
184.692208,316,7762.547952
218.861689,231,7772.101649
-89.349005,370,7779.451775
179.383744,317,7790.917069
248.978612,210,7800.704511
286.364257,256,7808.123764
155.675366,619,7816.975031
164.535179,620,7836.75167
261.291509,206,7855.437399
168.139865,404,7862.068286
250.33625,202,7874.240786
273.662788,184,7880.470662
267.647395,242,7886.205101
247.420695,351,7893.960853
267.913636,175,7904.510166
274.026039,222,7909.981935
196.733995,348,7917.028763
44.003332,98,7927.447261
-3.315534,277,7930.806095
-69.009112,153,7939.193838
-91.546982,138,7943.907581
-31.098807,108,7948.147435
235.411685,197,7951.60608
-189.582139,438,7958.297967
242.583707,289,7971.791916
256.650156,462,7981.200467
-92.715743,171,7995.168499
211.580518,211,8000.552738
17.632936,1000,8008.758262
-72.340511,322,8038.861275
203.484624,246,8048.728728
254.787497,582,8057.390352
269.284467,195,8074.918124
279.695629,286,8081.202538
-222.140879,212,8090.036917
274.137021,223,8096.614332
226.22535,532,8104.767571
269.038981,185,8120.827852
250.264253,162,8126.493699
209.641084,309,8131.717628
248.387785,190,8141.133105
146.250249,752,8149.122009
208.697572,361,8172.361817
305.96013,231,8183.356611
229.000649,598,8191.324955
211.627827,275,8209.583041
